# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Week,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,42,217,203,32,90.6589861751152,1.1428571428571428,7289,8,0.03686635944700461
Email,10,214,101,63,76.37264150943396,1.3396226415094339,5751,0,0
Organic Search,33,213,171,56,118.46634615384616,1.1923076923076923,6542,13,0.052884615384615384
Email,32,212,118,95,148.34123222748815,1.5971563981042654,7789,32,0.14691943127962084
Paid Search,51,212,170,70,95.20754716981132,1.3679245283018868,8961,7,0.0330188679245283
Organic Social,20,206,118,40,19.84729064039409,0.9408866995073891,2608,0,0
Email,08,204,159,76,73.89108910891089,1.113861386138614,3876,4,0.019801980198019802
Paid Search,43,203,186,35,66.38118811881188,1.108910891089109,5925,2,0.009900990099009901
Cross-network,02,200,175,51,65.05050505050505,1.02020202020202,3630,7,0.03535353535353535
Organic Search,34,199,165,50,90.36040609137056,1.263959390862944,5646,13,0.04568527918781726
Paid Search,50,198,164,51,83.82564102564102,1.2102564102564102,7259,2,0.010256410256410256
Organic Social,15,197,131,5,12.596938775510203,1.0153061224489797,1440,1,0.00510204081632653
Paid Video,43,196,196,11,20.290816326530614,1.0255102040816326,1134,0,0
Paid Search,25,195,66,54,57.03589743589744,1.2102564102564102,5062,7,0.03076923076923077
Paid Search,52,193,154,53,106.453125,1.2604166666666667,8212,9,0.046875
Paid Social,27,193,2,115,26.74074074074074,1.2380952380952381,3650,1,0.005291005291005291
Organic Search,42,189,145,57,81.01612903225806,1.2258064516129032,6101,5,0.026881720430107527
Paid Search,09,187,167,47,100.70491803278688,1.0655737704918034,4548,5,0.0273224043715847
Display,43,185,183,5,18.532608695652176,0.9945652173913043,1243,0,0
Paid Search,33,183,159,44,92.65573770491804,1.2349726775956285,5165,7,0.0273224043715847
Email,07,181,118,91,107.09142857142857,1.2914285714285714,4576,9,0.05142857142857143
Paid Search,01,181,134,66,138.23976608187135,1.2514619883040936,5522,4,0.023391812865497075
Email,01,178,98,84,70.70414201183432,1.1183431952662721,3458,2,0.011834319526627219
Paid Social,22,176,1,68,22.349693251533743,1.196319018404908,2726,0,0
Paid Search,03,168,134,70,183.56969696969696,1.2545454545454546,5614,4,0.024242424242424242
Paid Search,17,168,46,72,94.89696969696969,1.4666666666666666,6163,5,0.030303030303030304
Paid Search,13,165,50,55,102.85276073619632,1.3190184049079754,6328,4,0.024539877300613498
Email,42,151,133,36,83.47682119205298,1.2781456953642385,4791,2,0.013245033112582781
Paid Search,34,151,129,35,117.10204081632654,1.251700680272109,5754,9,0.04081632653061224
Paid Search,32,150,141,36,93.45333333333333,1.12,3963,3,0.02
Unassigned,25,148,75,32,59.32432432432432,1.2364864864864864,4758,2,0.013513513513513514
Cross-network,42,144,128,23,38.69718309859155,1.0774647887323943,2024,1,0.007042253521126761
Display,42,144,144,1,22.479166666666668,1,987,0,0
Paid Search,15,144,54,28,99.03521126760563,1.232394366197183,4321,4,0.028169014084507043
