"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"Barcode lookup","755281","Content","Comparison Engine","","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FatCoupon Technology Ltd","789945","Content","Cashback","","0","0","0","0","1383","0","0","0","0","0","178.5","0","0","0","0","2","0","0","0","0","357","0","0","0","0","42.84","2","1","1","0","0","0"
"searchfor.org","794493","Search","Direct Linking","","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CopaCoupona","802147","Content","Discount Code","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MaxRebates","822461","Content","Cashback","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peter Ryan","847757","Content","Bloggers & Social Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Circle GmbH","874195","Content","Shopping Directory","","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reviews First ","888593","Content","Shopping Directory","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TakeAds GmbH - Incentive","922583","Display","Subnetworks","","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sleek","949867","Display","Direct Traffic","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"nisa associates","960967","Display","Subnetworks","","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"dayinmydreams.com","996503","Content","Cashback","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smart Influence GmbH","1018583","Display","Direct Traffic","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Omnia Digital Ltd","1025464","Content","Editorial Content","","0","0","0","0","737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BuyButWhere","1035097","Display","Ad Networks","","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"STELLIO LTD","1037343","Content","Discount Code","","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joko","1052075","Content","Cashback","","0","0","0","0","296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Usman Masood","1053627","Content","Editorial Content","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ClickPrefer","1081967","Display","Subnetworks","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SuperAds","1152035","Email","Newsletters","","0","0","0","0","2099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amber Johnson","1188126","Display","Contextual Targeting","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REWARDANY TECH INC","1191118","Content","Cashback","","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ovais Haroon","1195510","Content","Bloggers & Social Content","","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diginlink Sub Network","1197794","Display","Subnetworks","","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lkmstore Sub Network","1201796","Display","Subnetworks","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GINA""S OUTLET","1214598","Search","Social Search","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OCEANSHINY LTD","1236212","Search","Direct Linking","","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bright Exchange","1263539","Content","Communities and User-Generated Content","","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDLOOK LTD","1300061","Content","Shopping Directory","","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JoinGekko.com","1363573","Display","Subnetworks","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"creditwisehub","1403715","Content","Bloggers & Social Content","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trashie","1435763","Content","Cashback","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Circlegoods.net","1460174","Content","Bloggers & Social Content","","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
