Raw Product String,Parsed_Fabric,Parsed_Body,Parsed_Color,Parsed_Size
Preston Coated Noir - 38 / Noir,Coated,Preston,Noir,Noir
Preston Coated Noir - 29,Coated,Preston,Noir,Unknown
Preston Coated Chocolate - 31,Coated,Preston,Chocolate,Unknown
Preston Coated Merlot - Coated Merlot / 29,Coated,Preston,Merlot,29
Preston Coated Noir - 32,Coated,Preston,Noir,Unknown
Preston Coated Noir - Noir / 31,Coated,Preston,Noir,31
Preston Coated Noir - Noir / 38,Coated,Preston,Noir,38
Preston Coated Merlot - 32,Coated,Preston,Merlot,Unknown
Preston Coated Verdant - 30,Coated,Preston,Verdant,Unknown
Preston Coated Noir - 36,Coated,Preston,Noir,Unknown
Preston Coated Toffee - 29,Coated,Preston,Toffee,Unknown
Preston Coated Verdant - 31,Coated,Preston,Verdant,Unknown
Preston Coated Toffee - 28,Coated,Preston,Toffee,Unknown
Preston Coated Green Leopard - 29,Coated,Preston,Green Leopard,Unknown
Preston Coated Chocolate - 36,Coated,Preston,Chocolate,Unknown
Preston Coated Noir - 31 / Noir,Coated,Preston,Noir,Noir
Preston Coated Noir - 40,Coated,Preston,Noir,Unknown
Preston Coated Verdant - 28,Coated,Preston,Verdant,Unknown
Preston Coated Green Leopard - Coated Green Leopard / 33,Coated,Preston,Green Leopard,33
Preston Coated Red Leopard - Coated Red Leopard / 31,Coated,Preston,Red Leopard,31
Preston Coated Toffee - 40,Coated,Preston,Toffee,Unknown
Preston Coated Verdant - 40,Coated,Preston,Verdant,Unknown
Preston Coated Malachite - Coated Malachite / 28,Coated,Preston,Malachite,28
Preston Coated Noir - Noir / 36,Coated,Preston,Noir,36
Preston Coated Noir - 28,Coated,Preston,Noir,Unknown
Preston Coated Moon Rock - 34,Coated,Preston,Moon Rock,Unknown
Preston Coated Moon Rock,Coated,Preston,Moon Rock,Unknown
Preston Coated Merlot - 29,Coated,Preston,Merlot,Unknown
Preston Coated Verdant - 36,Coated,Preston,Verdant,Unknown
Preston Coated Verdant - 34,Coated,Preston,Verdant,Unknown
Preston Coated Merlot - 31,Coated,Preston,Merlot,Unknown
Preston Coated Malachite - 29,Coated,Preston,Malachite,Unknown
Preston Coated Moon Rock - 32,Coated,Preston,Moon Rock,Unknown
Preston Coated Malachite - Coated Malachite / 31,Coated,Preston,Malachite,31
Preston Coated Noir,Coated,Preston,Noir,Unknown
Preston Coated Noir - 34,Coated,Preston,Noir,Unknown
Preston Coated Malachite - 31,Coated,Preston,Malachite,Unknown
Preston Coated Green Leopard - Coated Green Leopard / 40,Coated,Preston,Green Leopard,40
Preston Coated Verdant - 38,Coated,Preston,Verdant,Unknown
Preston Coated Merlot - 36,Coated,Preston,Merlot,Unknown
Preston Coated Toffee - 30,Coated,Preston,Toffee,Unknown
Preston Coated Merlot - 28,Coated,Preston,Merlot,Unknown
Preston Coated Verdant - 33,Coated,Preston,Verdant,Unknown
Preston Coated Noir - 28 / Noir,Coated,Preston,Noir,Noir
Preston Coated Red Leopard - Coated Red Leopard / 34,Coated,Preston,Red Leopard,34
Preston Coated Malachite - 33,Coated,Preston,Malachite,Unknown
Preston Coated Red Leopard - Coated Red Leopard / 28,Coated,Preston,Red Leopard,28
Preston Coated Malachite - 28,Coated,Preston,Malachite,Unknown
Preston Coated Noir - 30,Coated,Preston,Noir,Unknown
Preston Coated Verdant - 32,Coated,Preston,Verdant,Unknown
Preston Coated Green Leopard - Coated Green Leopard / 31,Coated,Preston,Green Leopard,31
Preston Coated Moon Rock - 40,Coated,Preston,Moon Rock,Unknown
Preston Coated Moon Rock - 36,Coated,Preston,Moon Rock,Unknown
