# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,14,396,370,0.9343434343434344,48.64141414141414,11.666666666666666,4620,7,0.017676767676767676,2115.98
Direct,29,395,365,0.9240506329113924,39.14683544303797,10.850632911392404,4286,11,0.027848101265822784,2095.04
Cross-network,28,393,376,0.9567430025445293,45.01017811704835,12.758269720101781,5014,8,0.020356234096692113,1264.37
Email,08,391,370,0.9462915601023018,42.21739130434783,14.91304347826087,5831,7,0.017902813299232736,2824.96
Direct,50,387,368,0.9509043927648578,29.459948320413435,14.348837209302326,5553,1443,0.9018087855297158,8487.93
Referral,14,387,320,0.8268733850129198,6.710594315245478,5.607235142118863,2170,1,0.002583979328165375,59.99
Direct,03,383,355,0.9268929503916449,38.62924281984334,16.93994778067885,6488,10,0.02610966057441253,1186.58
Organic Search,48,382,259,0.6780104712041884,301.34031413612564,16.583769633507853,6335,6,0.010471204188481676,1545.12
Cross-network,31,378,351,0.9285714285714286,44.83862433862434,10.431216931216932,3943,4,0.010582010582010581,1041.39
Direct,06,374,352,0.9411764705882353,43.355614973262036,20.58288770053476,7698,14,0.0374331550802139,5170.68
Direct,28,373,341,0.9142091152815014,34.474530831099194,9.93833780160858,3707,9,0.024128686327077747,1969.22
Organic Social,43,371,211,0.568733153638814,29.60377358490566,11.420485175202156,4237,12,0.03234501347708895,4081.26
Email,13,370,303,0.8189189189189189,31.886486486486486,9.113513513513514,3372,5,0.013513513513513514,1579.63
Referral,15,370,315,0.8513513513513513,16.62972972972973,7.7,2849,4,0.010810810810810811,1855.96
Email,09,369,350,0.948509485094851,49.075880758807585,16.644986449864497,6142,14,0.03523035230352303,2605.02
Cross-network,27,353,326,0.9235127478753541,39.29461756373938,10.796033994334278,3811,5,0.014164305949008499,1872.3
Cross-network,10,352,340,0.9659090909090909,33.9375,14.252840909090908,5017,9,0.02556818181818182,1569.31
Email,43,348,232,0.6666666666666666,58.66379310344828,15.258620689655173,5310,11,0.031609195402298854,3661.62
Paid Social,50,348,345,0.9913793103448276,16.70689655172414,12.419540229885058,4322,1175,0.9281609195402298,824.92
Email,26,342,316,0.9239766081871345,38.675438596491226,10.90643274853801,3730,20,0.05847953216374269,3686.91
Direct,04,340,312,0.9176470588235294,37.338235294117645,17.88529411764706,6081,7,0.020588235294117647,1975.23
Cross-network,32,338,307,0.908284023668639,39.72189349112426,10.7396449704142,3630,5,0.014792899408284023,1097.38
Cross-network,08,337,323,0.9584569732937686,40.13353115727003,16.55786350148368,5580,13,0.03857566765578635,2976.74
Referral,24,336,309,0.9196428571428571,11.666666666666666,6.5148809523809526,2189,2,0.005952380952380952,271.2
Email,46,332,154,0.463855421686747,22.093373493975903,9.466867469879517,3143,4,0.006024096385542169,812.06
Email,27,331,317,0.9577039274924471,49.3202416918429,12.537764350453172,4150,8,0.02416918429003021,1931.56
Organic Search,41,330,197,0.5969696969696969,62.07272727272727,15.606060606060606,5150,11,0.030303030303030304,3419.36
Organic Search,22,329,307,0.9331306990881459,70.06686930091185,16.86626139817629,5549,9,0.02735562310030395,2047.53
Unassigned,25,324,276,0.8518518518518519,15.854938271604938,6.5,2106,7,0.021604938271604937,-245.92113
Organic Search,46,322,206,0.639751552795031,69.6086956521739,21.773291925465838,7011,19,0.031055900621118012,9277.67
Cross-network,29,320,301,0.940625,39.7875,11.475,3672,7,0.021875,2111.17
Email,30,319,282,0.8840125391849529,28.100313479623825,9.705329153605016,3096,7,0.0219435736677116,936.24
Direct,39,313,183,0.5846645367412141,35.39936102236422,9.741214057507987,3049,9,0.02875399361022364,2238.88
Paid Social,43,312,127,0.40705128205128205,12.942307692307692,7.096153846153846,2214,2,0.00641025641025641,289.8
Email,31,311,291,0.9356913183279743,21.292604501607716,8.212218649517684,2554,7,0.022508038585209004,1146.42
Organic Search,09,311,279,0.8971061093247589,56.09003215434084,17.774919614147908,5528,6,0.01929260450160772,821.04
Direct,40,307,169,0.5504885993485342,33.351791530944624,11.31270358306189,3473,15,0.048859934853420196,3193.51
Cross-network,33,306,292,0.954248366013072,43.52287581699346,11.441176470588236,3501,2,0.006535947712418301,259.76
Organic Search,14,304,282,0.9276315789473685,60.848684210526315,16.69078947368421,5074,13,0.04276315789473684,2761.92
Organic Search,02,303,280,0.9240924092409241,57.947194719471945,23.564356435643564,7140,6,0.019801980198019802,783.87
Organic Search,20,303,286,0.9438943894389439,47.257425742574256,12.455445544554456,3774,9,0.0297029702970297,3163.14
Unassigned,50,302,43,0.1423841059602649,45.47019867549669,17.834437086092716,5386,1596,0.8675496688741722,7233.56
Organic Search,10,299,280,0.9364548494983278,63.374581939799334,21.337792642140467,6380,11,0.033444816053511704,2247.77
